epoch;train_loss;valid_loss;mae;time
151;2.210589;6.334884;6.334884;01:40
152;2.060822;6.012311;6.012311;01:40
153;2.057561;5.925299;5.925299;01:41
154;2.241879;6.126606;6.126606;01:40
155;2.230704;5.859909;5.859909;01:39
156;1.974786;6.025317;6.025317;01:40
157;2.177342;6.298428;6.298428;01:40
158;2.280313;6.656968;6.656968;01:41
159;2.053379;6.047388;6.047388;01:40
160;2.014064;6.041058;6.041058;01:39
161;2.131245;5.842987;5.842987;01:40
162;1.994803;5.797717;5.797717;01:40
163;2.062010;6.032996;6.032996;01:40
164;1.915411;5.908775;5.908775;01:40
165;1.898290;5.868293;5.868293;01:40
166;1.938205;5.684974;5.684974;01:40
167;1.874855;5.807390;5.807390;01:40
168;1.836349;6.019196;6.019196;01:40
169;2.002489;5.955079;5.955079;01:39
170;1.946620;6.299772;6.299772;01:40
171;1.980863;5.700430;5.700430;01:40
172;1.962361;6.156599;6.156599;01:40
173;1.922878;5.818597;5.818597;01:41
174;1.851212;5.740981;5.740981;01:40
175;1.957826;6.154928;6.154928;01:40
176;1.941525;6.189677;6.189677;01:39
177;1.756060;6.047379;6.047379;01:40
178;1.952107;5.898797;5.898797;01:40
179;1.902070;5.628792;5.628792;01:39
180;1.716047;5.970666;5.970666;01:40
181;1.756309;5.741119;5.741119;01:40
182;1.950824;5.719109;5.719109;01:40
183;1.826462;5.836127;5.836127;01:40
184;1.758408;6.048879;6.048879;01:39
185;1.812811;5.749573;5.749573;01:40
186;1.855166;6.039448;6.039448;01:40
187;1.751711;5.961231;5.961231;01:40
188;1.858722;6.088305;6.088305;01:41
189;1.736962;6.116023;6.116023;01:41
190;1.793438;5.967586;5.967586;01:40
191;1.835730;5.942405;5.942405;01:40
192;1.683173;5.829672;5.829672;01:40
193;1.658486;6.079270;6.079270;01:39
194;1.684672;5.759118;5.759118;01:40
195;1.516382;5.751744;5.751744;01:40
196;1.679453;5.903488;5.903488;01:40
197;1.687211;5.910401;5.910401;01:40
198;1.668295;5.760112;5.760112;01:40
199;1.589028;5.562034;5.562034;01:40
200;1.504279;5.693847;5.693847;01:40
201;1.527143;5.722944;5.722944;01:41
202;1.555068;5.707575;5.707575;01:39
203;1.652579;5.777810;5.777810;01:41
204;1.506250;5.835927;5.835927;01:40
205;1.591892;6.048710;6.048710;01:40
206;1.573093;5.812556;5.812556;01:40
207;1.751078;5.765038;5.765038;01:40
208;1.592701;5.785011;5.785011;01:40
209;1.366007;5.767834;5.767834;01:40
210;1.360310;5.602901;5.602901;01:40
211;1.423763;5.857932;5.857932;01:41
212;1.503126;5.726455;5.726455;01:40
213;1.444777;5.802730;5.802730;01:41
214;1.365205;5.802803;5.802803;01:40
215;1.386382;5.880847;5.880847;01:40
216;1.416201;5.769652;5.769652;01:40
217;1.368636;5.767216;5.767216;01:39
